epoch,train_loss,val_loss,lr,elapsed_sec
1,8.3457,7.3284,0.000072,28.4
2,6.6989,6.2055,0.000144,28.0
3,5.9768,5.7678,0.000216,28.8
4,5.5346,5.4757,0.000288,29.6
5,5.2222,5.2801,0.000360,29.9
6,4.9919,5.1479,0.000432,29.5
7,4.7987,5.0386,0.000504,29.7
8,4.6301,4.9733,0.000576,29.6
9,4.4749,4.8889,0.000648,29.6
10,4.3286,4.8389,0.000720,29.5
11,4.1895,4.7682,0.000792,29.6
12,4.0563,4.7297,0.000864,29.6
13,3.9301,4.6998,0.000936,29.6
14,3.8119,4.7028,0.001008,29.6
15,3.7001,4.7036,0.001080,29.5
16,3.5985,4.7270,0.001152,29.6
17,3.5058,4.7489,0.001224,29.6
18,3.4223,4.7581,0.001296,29.6
